"u_par","phi_LM_max","phi_LM_min","A_LM_50pc","K_LM","u_clin","phi_D_max","phi_D_min","A_D_50pc","K_D","A_d_PCR_50pc","K_d_PCR","d_PCR_max","d_LM","P_MI","d_MI","sig_het"
38.9988,0.924342,0.0108745,19.4862,3.37925,5.77223,0.989122,0.00617122,21.8136,6.43963,7.9028,3.48556,70.4983,16.8891,0.250356,47.4413,1.53909
45.1388,0.945881,0.0134287,18.2569,3.63621,3.94269,0.977785,0.00749276,24.7474,5.76678,9.92577,6.01056,57.8806,17.6251,0.650445,34.6281,1.53583
41.5525,0.903575,0.0107028,19.9461,3.54493,5.16555,0.950597,0.0136195,21.6214,4.87924,9.64685,4.99213,72.6171,16.8161,0.414501,50.7479,1.48969
42.9419,0.958273,0.0082055,16.9534,2.98133,5.0544,0.97958,0.0115517,23.9146,6.47821,8.35105,3.39177,72.169,16.4547,0.22259,52.1119,1.52674
38.7201,0.909073,0.0112363,21.423,3.58013,4.21276,0.971647,0.0099667,24.5798,5.6157,10.0666,3.597,48.3124,14.8902,0.287333,34.7188,1.61194
39.579,0.92331,0.00954798,19.5926,3.30676,4.49253,0.983603,0.00533811,24.1169,5.62902,15.2791,4.99924,43.349,16.0159,0.292971,63.5258,1.62561
41.8066,0.783478,0.00918158,19.9555,3.39138,3.68428,0.968992,0.00502925,29.1949,5.84582,7.35808,2.76698,58.3267,15.9181,0.167953,83.2691,1.53573
39.0775,0.921893,0.00865919,17.8088,2.96897,3.47563,0.911361,0.00923696,28.5271,7.41065,10.7163,3.00926,41.2592,16.7074,0.152144,85.7492,1.42505
45.857,0.866957,0.0157376,20.1994,3.96553,5.95986,0.932158,0.00981205,24.6622,8.94321,8.861,4.6389,48.206,15.667,0.262584,68.8537,1.53043
37.3945,0.945238,0.00613458,18.9361,3.00372,4.4008,0.985235,0.00695508,24.2084,4.99645,6.21242,3.04021,64.1296,15.7202,0.441513,31.286,1.55921
42.8734,0.964358,0.0109474,18.86,3.5973,4.65541,0.899362,0.00414783,23.676,6.05523,10.8682,4.86159,67.7674,17.12,0.284546,55.2818,1.62389
40.5992,0.942453,0.0114427,18.3778,3.38028,6.47337,0.962551,0.00394276,25.6019,7.61292,13.6767,5.22605,47.2988,17.9191,0.259571,116.746,1.537
47.3538,0.969389,0.0141699,17.9562,3.74904,3.19691,0.941362,0.00398055,22.0263,3.46602,14.8853,5.45886,37.8451,17.1125,0.681172,26.152,1.54518
44.5477,0.989684,0.0123507,16.3042,3.13104,3.18173,0.936119,0.0258885,22.9198,4.83308,8.86202,4.91497,87.8324,16.4892,0.0988101,44.1328,1.35911
44.9912,0.928809,0.0101645,17.4966,3.3847,3.57114,0.981695,0.00380283,27.0522,6.53207,12.9951,6.80997,42.305,17.9801,0.46191,54.6705,1.62545
40.7609,0.895146,0.00963424,19.505,3.22295,3.02999,0.923597,0.00805036,22.9028,3.74664,16.2703,4.21813,30.4164,14.822,0.283476,74.8127,1.48481
41.6924,0.977781,0.0147868,19.2185,3.66295,5.3129,0.93411,0.00490658,24.5024,6.22696,10.3161,4.22752,43.9,15.1826,0.348448,109.235,1.50526
39.744,0.920422,0.00871807,20.2405,3.47473,4.4189,0.980427,0.0014297,24.2473,5.3151,7.94752,3.39106,50.817,16.1111,0.255447,41.4225,1.66625
45.9526,0.900451,0.0127663,18.3722,3.65651,3.2439,0.987389,0.00530078,24.7347,6.78841,12.699,4.29952,57.7557,16.6313,0.273809,29.2138,1.52613
48.6675,0.937994,0.0124645,18.3559,3.57809,4.13137,0.98153,0.00943283,21.6279,5.53712,7.73349,3.38552,64.6814,15.6318,0.161835,34.6737,1.49494
49.418,0.91943,0.0108439,17.8903,3.5885,5.15852,0.974556,0.00682476,25.7417,7.01166,12.5573,6.32363,50.1455,14.9892,0.356846,70.609,1.60272
39.3762,0.902326,0.00304258,19.4861,2.91574,3.71913,0.958376,0.0103924,23.6677,5.12393,10.0956,4.59304,63.2832,15.9927,0.573411,41.4961,1.5989
44.6247,0.854178,0.00971345,19.729,3.57703,3.41352,0.968803,0.00568868,26.74,4.24317,15.0036,5.29201,39.1309,15.6005,0.431398,30.3712,1.54815
38.5525,0.924735,0.00927187,19.3548,3.11189,4.53051,0.962515,0.00821487,21.9036,4.60796,7.57539,3.69714,69.9974,15.6827,0.190226,27.4134,1.50732
45.7701,0.870135,0.00843812,17.8599,3.43686,4.23499,0.943626,0.00801529,24.0278,6.16774,8.40597,3.70048,65.9961,18.1389,0.296975,17.1426,1.54371
42.0774,0.986767,0.00678519,17.8706,3.09312,3.20132,0.99189,0.00489309,24.0668,4.70394,11.548,3.76666,51.8508,16.0557,0.224753,64.4679,1.54735
47.5639,0.949725,0.0122038,17.9058,3.68385,3.04216,0.964285,0.00228427,29.3029,4.3594,10.779,3.1949,80.4145,15.8458,0.325504,81.6474,1.68188
40.2653,0.902151,0.0102198,19.7477,3.31773,4.57872,0.952227,0.00712459,25.1243,6.4575,7.3329,8.02803,71.2362,14.7483,0.522866,35.8343,1.5778
40.7038,0.866963,0.0105227,20.3008,3.5252,2.9411,0.941317,0.00552457,27.4078,5.00782,10.6165,4.60322,43.5463,14.9299,0.624898,27.6976,1.62596
45.3883,0.954139,0.0108711,17.9343,3.49514,4.62136,0.937271,0.00904896,23.9939,6.08504,11.1585,3.30142,37.9818,15.0319,0.190803,56.5592,1.60295
43.0356,0.949955,0.0115946,19.3185,3.42053,4.15372,0.89878,0.0046025,27.601,5.91543,12.7197,5.26639,34.3019,13.7656,0.30844,56.379,1.49255
41.9452,0.926656,0.010231,19.5082,3.46621,4.49887,0.946801,0.00724133,23.8265,4.68769,8.80643,3.22528,42.5954,16.1291,0.199401,60.5884,1.56352
